intent_id,user_question,answer,source_id,last_updated
Q01,How much does it cost to ship?,"""Shipping is free for all Puffy products.""",07_faq,2025-07-23
Q02,How do you clean a Puffy mattress?,"""Spot‑clean the mattress with cold water and mild detergent to keep it fresh.""",07_faq,2025-07-23
Q03,What is covered in the lifetime warranty?,"""The lifetime warranty covers all Puffy mattresses, bed frames, bedding, and accessories for as long as you own them.""",07_faq,2025-07-23
Q04,Where are Puffy mattresses made?,"""Every Puffy mattress is designed, manufactured, assembled, and sewn in the USA.""",07_faq,2025-07-23
Q05,How do you fix a sagging mattress?,"""Puffy mattresses are built to last over ten years, and sagging is addressed through the 101 night trial or lifetime warranty replacement.""",07_faq,2025-07-23
Q06,What is the difference between the Puffy Cloud and the Puffy Lux Hybrid?,"""Cloud is a ten inch six layer memory foam mattress, Lux Hybrid is a twelve inch eight layer hybrid with contour adapt coils for extra support and cooling.""",07_faq,2025-07-23
Q07,What is the difference between the Puffy Cloud and the Puffy Royal Hybrid?,"""Cloud is a ten inch memory foam mattress, Royal Hybrid is a fourteen inch ten layer model with zoned support and Cloud Breeze airflow cooling.""",07_faq,2025-07-23
Q08,What is the difference between the Puffy Cloud and the Puffy Monarch Hybrid?,"""Cloud is a ten inch memory foam mattress, Monarch Hybrid is a sixteen inch twelve layer model adding latex, alpaca wool quilt, and enhanced contouring.""",07_faq,2025-07-23
Q09,What is the difference between the Puffy Lux Hybrid and the Puffy Royal Hybrid?,"""Lux Hybrid is twelve inches eight layers with coils, Royal Hybrid is fourteen inches ten layers with zoned support and Cloud Breeze airflow.""",07_faq,2025-07-23
Q10,What is the difference between the Puffy Lux Hybrid and the Puffy Monarch Hybrid?,"""Lux Hybrid is twelve inches with coils, Monarch Hybrid is sixteen inches with latex, alpaca wool pillow top, and thicker contouring foams.""",07_faq,2025-07-23
Q11,What benefits does a Puffy smart bed set offer?,"""Smart bed sets provide remote controlled head and leg elevation, Zero G pressure relief, massage zones, and under bed lighting.""",03_cloud_smart_bed,2025-07-23
Q12,What is included in each Puffy smart bed set?,"""Each smart bed set includes a Serenity Adjustable Base, a Puffy mattress of the chosen size, two memory foam pillows, and a sleep mask.""",03_cloud_smart_bed,2025-07-23
Q13,How much is a smart bed?,"""The Puffy Cloud Smart Bed Set starts at about one thousand six hundred forty eight dollars for Twin XL during sale.""",03_cloud_smart_bed,2025-07-23
